epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.306,0.87145,0.72819,0.83418,0.86808,0.73118,0.82132,0.6277,0.88726,0.88826,0.82715,0.000414095,0.000414095,0.000414095
2,449.964,0.90298,0.70148,0.83925,0.89719,0.72697,0.82064,0.61189,0.94948,0.78134,0.83474,0.000803346,0.000803346,0.000803346
3,540.562,0.908,0.69386,0.83619,0.88671,0.68357,0.80751,0.58952,0.94292,0.90641,0.83122,0.0011651,0.0011651,0.0011651
4,630.152,0.93124,0.70739,0.83351,0.89762,0.74899,0.83474,0.62633,0.86974,0.7326,0.82492,0.00112625,0.00112625,0.00112625
5,720.554,0.88612,0.64508,0.83247,0.94322,0.72361,0.83041,0.63264,0.85343,0.75193,0.82096,0.001085,0.001085,0.001085
6,811.046,0.86105,0.61942,0.83046,0.92992,0.73875,0.84044,0.63271,0.8615,0.68746,0.82305,0.00104375,0.00104375,0.00104375
7,903.963,0.8583,0.61502,0.82811,0.89752,0.75556,0.85647,0.64995,0.844,0.69289,0.81776,0.0010025,0.0010025,0.0010025
8,994.172,0.82893,0.58378,0.82232,0.94017,0.73858,0.84899,0.64878,0.82494,0.74327,0.8146,0.00096125,0.00096125,0.00096125
9,1084.36,0.83249,0.5765,0.8244,0.9342,0.77104,0.86684,0.64738,0.85617,0.66229,0.82037,0.00092,0.00092,0.00092
10,1172.88,0.82321,0.57473,0.82178,0.94226,0.79331,0.87469,0.66633,0.84333,0.62359,0.81751,0.00087875,0.00087875,0.00087875
11,1263.98,0.78054,0.54573,0.8172,0.92831,0.77665,0.86138,0.66311,0.83975,0.66385,0.8134,0.0008375,0.0008375,0.0008375
12,1355.47,0.78559,0.53514,0.816,0.92058,0.796,0.8738,0.66264,0.80953,0.61193,0.81268,0.00079625,0.00079625,0.00079625
13,1447.67,0.76506,0.50668,0.81185,0.96015,0.76644,0.88074,0.69139,0.7704,0.57551,0.80602,0.000755,0.000755,0.000755
14,1537.8,0.77023,0.50401,0.81317,0.89297,0.80264,0.87588,0.67653,0.81555,0.67531,0.81394,0.00071375,0.00071375,0.00071375
15,1627.15,0.74897,0.49626,0.81109,0.8999,0.81155,0.88575,0.69643,0.76796,0.6324,0.80775,0.0006725,0.0006725,0.0006725
16,1715.94,0.73815,0.47367,0.81084,0.9175,0.82028,0.88865,0.68685,0.79324,0.60899,0.80529,0.00063125,0.00063125,0.00063125
17,1804.66,0.73688,0.47679,0.81185,0.94061,0.79301,0.88729,0.69365,0.79636,0.60184,0.81009,0.00059,0.00059,0.00059
18,1893.85,0.7122,0.4524,0.8085,0.94204,0.79057,0.88334,0.71206,0.76284,0.63518,0.80568,0.00054875,0.00054875,0.00054875
19,1982.21,0.70696,0.44587,0.80744,0.94259,0.78963,0.87752,0.68652,0.75223,0.62915,0.80583,0.0005075,0.0005075,0.0005075
20,2069.61,0.6953,0.43403,0.7998,0.93384,0.79188,0.88311,0.6976,0.76486,0.64508,0.80757,0.00046625,0.00046625,0.00046625
21,2160.02,0.68283,0.41965,0.81047,0.92478,0.81831,0.89103,0.69775,0.77433,0.62242,0.80929,0.000425,0.000425,0.000425
22,2245.43,0.64459,0.40019,0.79989,0.92751,0.78469,0.88549,0.69092,0.77978,0.62461,0.80556,0.00038375,0.00038375,0.00038375
23,2331.73,0.65337,0.39997,0.80642,0.93916,0.79694,0.88079,0.69911,0.75565,0.62426,0.80581,0.0003425,0.0003425,0.0003425
24,2418.09,0.64733,0.38884,0.79954,0.94244,0.79966,0.89434,0.70649,0.7543,0.57218,0.80356,0.00030125,0.00030125,0.00030125
25,2503.47,0.62498,0.38213,0.79585,0.96171,0.78434,0.89039,0.70308,0.74129,0.59189,0.8039,0.00026,0.00026,0.00026
26,2590.08,0.6109,0.36368,0.7951,0.93988,0.8003,0.89227,0.70488,0.7476,0.58014,0.80384,0.00021875,0.00021875,0.00021875
27,2677.07,0.60194,0.35923,0.79847,0.94849,0.80375,0.89286,0.70198,0.76245,0.60426,0.80693,0.0001775,0.0001775,0.0001775
28,2763.64,0.5864,0.34394,0.79101,0.921,0.82577,0.89529,0.70835,0.75279,0.59917,0.80584,0.00013625,0.00013625,0.00013625
29,2850.16,0.57621,0.33894,0.794,0.9349,0.80637,0.89747,0.71665,0.74186,0.59824,0.80448,9.5e-05,9.5e-05,9.5e-05
30,2936.61,0.56874,0.32919,0.79068,0.94366,0.80284,0.89329,0.71419,0.74369,0.61434,0.80432,5.375e-05,5.375e-05,5.375e-05
