epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.819,1.36022,3.26931,0.9239,0.73131,0.52997,0.61225,0.42125,1.17777,1.71781,0.87623,0.000414095,0.000414095,0.000414095
2,441.401,1.17848,1.67772,0.88902,0.90577,0.59319,0.70855,0.48433,1.16621,1.09514,0.87632,0.000814312,0.000814312,0.000814312
3,533.572,1.1028,1.22681,0.87185,0.87514,0.61783,0.74276,0.53092,1.05876,1.01236,0.85732,0.00119803,0.00119803,0.00119803
4,622.902,1.07551,1.01673,0.8599,0.83846,0.72206,0.79758,0.57019,0.9579,0.80595,0.84069,0.00117575,0.00117575,0.00117575
5,711.525,0.99406,0.83709,0.85207,0.87195,0.71002,0.81117,0.60368,0.90788,0.80431,0.82999,0.001151,0.001151,0.001151
6,800.44,0.95818,0.77215,0.84644,0.91527,0.7198,0.84326,0.62593,0.90543,0.75999,0.8264,0.00112625,0.00112625,0.00112625
7,891.088,0.93139,0.74731,0.83851,0.91075,0.74369,0.83137,0.61649,0.90009,0.7487,0.8281,0.0011015,0.0011015,0.0011015
8,979.542,0.8979,0.68442,0.83257,0.91231,0.75469,0.85528,0.63399,0.87821,0.72529,0.81951,0.00107675,0.00107675,0.00107675
9,1067.92,0.89899,0.65647,0.83568,0.9317,0.73878,0.84436,0.63064,0.912,0.72953,0.82758,0.001052,0.001052,0.001052
10,1155.51,0.89116,0.65098,0.83185,0.95471,0.76242,0.86645,0.65908,0.83292,0.66084,0.81571,0.00102725,0.00102725,0.00102725
11,1244.28,0.84816,0.61518,0.82732,0.93826,0.74878,0.85244,0.64291,0.87504,0.69589,0.81873,0.0010025,0.0010025,0.0010025
12,1331.63,0.84303,0.59494,0.82492,0.95043,0.78552,0.86623,0.65461,0.84803,0.63567,0.81171,0.00097775,0.00097775,0.00097775
13,1419.14,0.82622,0.58366,0.8207,0.94177,0.75343,0.86104,0.64731,0.83468,0.64741,0.81275,0.000953,0.000953,0.000953
14,1508.7,0.82873,0.56416,0.8219,0.90776,0.79513,0.86968,0.65642,0.83229,0.63181,0.81261,0.00092825,0.00092825,0.00092825
15,1598.83,0.80787,0.55809,0.81956,0.93499,0.78706,0.87058,0.66598,0.85951,0.68608,0.81545,0.0009035,0.0009035,0.0009035
