epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.502,6.18422,21.4768,4.01898,0,0,0,0,5.4334,4.49552,3.09956,0.0701852,0.00331276,0.00331276
2,783.803,4.29021,5.04394,2.49957,0.34274,0.04216,0.03338,0.01548,3.04768,3.68762,1.68938,0.0400536,0.0065145,0.0065145
3,1011.01,2.45301,3.04527,1.34268,0.63087,0.15506,0.22716,0.13443,2.08613,2.73124,1.23474,0.00979,0.00958424,0.00958424
4,1247.98,1.90382,2.05322,1.12703,0.76912,0.39212,0.4558,0.29667,1.55633,1.7539,1.03405,0.009406,0.009406,0.009406
5,1475.15,1.49096,1.43305,1.00182,0.86908,0.4874,0.5715,0.39106,1.29072,1.43024,0.94517,0.009208,0.009208,0.009208
6,1702.03,1.31908,1.18748,0.95816,0.80566,0.55772,0.63133,0.4359,1.21494,1.1833,0.92868,0.00901,0.00901,0.00901
7,1933.17,1.22184,1.07435,0.92688,0.82559,0.5467,0.64635,0.4582,1.20127,1.1705,0.921,0.008812,0.008812,0.008812
8,2159.16,1.13774,0.94734,0.90666,0.90531,0.589,0.69552,0.49795,1.1093,0.99379,0.89614,0.008614,0.008614,0.008614
9,2385.84,1.0908,0.87028,0.89384,0.86797,0.59471,0.69443,0.47947,1.165,1.1095,0.9122,0.008416,0.008416,0.008416
10,2611.08,1.0417,0.81535,0.88245,0.83712,0.6736,0.76321,0.57168,0.97202,0.91362,0.87198,0.008218,0.008218,0.008218
11,2837.78,0.97637,0.75751,0.87217,0.82585,0.66944,0.76936,0.56505,0.99072,0.88197,0.86645,0.00802,0.00802,0.00802
12,3066.12,0.94373,0.7172,0.86182,0.87285,0.69617,0.783,0.57818,0.98498,0.85545,0.85649,0.007822,0.007822,0.007822
13,3293.7,0.91331,0.67306,0.85457,0.89879,0.70124,0.80317,0.61629,0.89209,0.77215,0.84285,0.007624,0.007624,0.007624
14,3521.65,0.89209,0.63916,0.84969,0.89036,0.72942,0.8083,0.60988,0.93096,0.80652,0.84186,0.007426,0.007426,0.007426
15,3746.67,0.88442,0.63701,0.8489,0.9055,0.71574,0.80217,0.6167,0.89195,0.75671,0.84241,0.007228,0.007228,0.007228
16,3971.99,0.83385,0.58648,0.84226,0.88568,0.75896,0.83466,0.64965,0.80903,0.67947,0.82308,0.00703,0.00703,0.00703
17,4199.73,0.83771,0.58589,0.84242,0.89849,0.75007,0.83763,0.66309,0.79254,0.66158,0.82358,0.006832,0.006832,0.006832
18,4428.94,0.79528,0.543,0.83544,0.92312,0.73843,0.84163,0.65556,0.82311,0.68607,0.82159,0.006634,0.006634,0.006634
19,4653.1,0.78393,0.53234,0.83186,0.93202,0.76189,0.8594,0.6615,0.80809,0.60792,0.82113,0.006436,0.006436,0.006436
20,4878.43,0.76838,0.50684,0.82443,0.92609,0.76341,0.84574,0.66659,0.78118,0.65941,0.81745,0.006238,0.006238,0.006238
21,5106.63,0.74937,0.49858,0.82692,0.93021,0.75523,0.84941,0.68115,0.78018,0.66581,0.81886,0.00604,0.00604,0.00604
22,5338.16,0.74371,0.49297,0.82652,0.95509,0.76487,0.85984,0.68774,0.79951,0.61749,0.82493,0.005842,0.005842,0.005842
23,5571.76,0.71161,0.45864,0.8233,0.92158,0.78783,0.87372,0.69891,0.7721,0.60818,0.81841,0.005644,0.005644,0.005644
24,5806.03,0.71131,0.46105,0.82043,0.90981,0.79332,0.87485,0.69939,0.74099,0.58976,0.81244,0.005446,0.005446,0.005446
25,6038.36,0.69466,0.44912,0.82026,0.91681,0.7948,0.86424,0.69442,0.7558,0.58392,0.81104,0.005248,0.005248,0.005248
26,6268.94,0.69351,0.44,0.82001,0.93481,0.77877,0.8711,0.70438,0.75477,0.58701,0.81209,0.00505,0.00505,0.00505
27,6497.29,0.6661,0.42427,0.8098,0.95322,0.75975,0.86847,0.69893,0.73471,0.57045,0.80664,0.004852,0.004852,0.004852
28,6722.86,0.66735,0.42919,0.80777,0.95246,0.79022,0.87847,0.70512,0.72877,0.54116,0.80474,0.004654,0.004654,0.004654
29,6956.74,0.64423,0.40966,0.81087,0.94379,0.78953,0.87773,0.71656,0.71636,0.54549,0.80242,0.004456,0.004456,0.004456
30,7184.85,0.63617,0.38981,0.81018,0.96382,0.77753,0.87343,0.70891,0.72253,0.57253,0.80344,0.004258,0.004258,0.004258
31,7411.69,0.61962,0.38734,0.81198,0.94808,0.79685,0.87416,0.71068,0.69267,0.5469,0.8023,0.00406,0.00406,0.00406
32,7641.08,0.62424,0.38681,0.80752,0.95509,0.79646,0.88484,0.72902,0.69595,0.52216,0.80297,0.003862,0.003862,0.003862
33,7866.91,0.61394,0.3753,0.80296,0.93346,0.80105,0.88063,0.72155,0.68995,0.56308,0.79942,0.003664,0.003664,0.003664
34,8090.77,0.59512,0.36432,0.8058,0.95993,0.77236,0.8825,0.7212,0.6949,0.53785,0.79886,0.003466,0.003466,0.003466
35,8315.11,0.5697,0.34718,0.79888,0.94941,0.80524,0.88881,0.73165,0.68105,0.51989,0.80108,0.003268,0.003268,0.003268
36,8539.55,0.57044,0.34848,0.80188,0.93982,0.7967,0.88719,0.73043,0.69564,0.56455,0.79978,0.00307,0.00307,0.00307
37,8766.09,0.57799,0.35293,0.80546,0.95993,0.79337,0.88466,0.73544,0.68051,0.52804,0.79963,0.002872,0.002872,0.002872
38,8993.92,0.56124,0.33927,0.79849,0.92386,0.81086,0.88204,0.72171,0.67794,0.5156,0.8003,0.002674,0.002674,0.002674
39,9217.99,0.53931,0.32783,0.79959,0.92177,0.81952,0.88715,0.7261,0.68633,0.50739,0.80153,0.002476,0.002476,0.002476
40,9441.81,0.53573,0.32656,0.7964,0.96599,0.78602,0.88645,0.73768,0.67971,0.52048,0.79533,0.002278,0.002278,0.002278
41,9668.65,0.51539,0.31746,0.79304,0.92797,0.81222,0.89754,0.7408,0.68182,0.50651,0.7973,0.00208,0.00208,0.00208
42,9897.72,0.50738,0.30525,0.79132,0.95524,0.79576,0.88639,0.73691,0.67907,0.5423,0.79875,0.001882,0.001882,0.001882
43,10121.2,0.49361,0.296,0.80006,0.929,0.80754,0.88543,0.72987,0.66593,0.53519,0.7989,0.001684,0.001684,0.001684
44,10346.4,0.47717,0.28413,0.78787,0.93181,0.81385,0.8906,0.74202,0.67441,0.53911,0.79873,0.001486,0.001486,0.001486
45,10571.1,0.47343,0.28213,0.79125,0.93718,0.80363,0.88854,0.74042,0.66107,0.53896,0.79586,0.001288,0.001288,0.001288
46,10796.4,0.46436,0.27828,0.7919,0.94111,0.80691,0.88818,0.7409,0.64709,0.50624,0.79523,0.00109,0.00109,0.00109
47,11021.6,0.45899,0.27463,0.78819,0.96327,0.8154,0.88946,0.73963,0.66213,0.50219,0.79443,0.000892,0.000892,0.000892
48,11246.7,0.43967,0.2599,0.7856,0.94465,0.80704,0.88805,0.74227,0.65026,0.52333,0.79398,0.000694,0.000694,0.000694
49,11474.3,0.43178,0.25858,0.7859,0.93993,0.80809,0.88747,0.74509,0.66335,0.55121,0.79438,0.000496,0.000496,0.000496
50,11701.1,0.42432,0.25732,0.78045,0.9527,0.81652,0.89151,0.74805,0.65617,0.50607,0.79376,0.000298,0.000298,0.000298
