epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.158,0.75042,0.55472,0.82382,0.93777,0.81546,0.90689,0.72375,0.73456,0.6072,0.80339,0.000416024,0.000416024,0.000416024
2,506.959,0.81732,0.64267,0.83365,0.9379,0.75339,0.84615,0.66075,0.82482,0.77467,0.81532,0.000805212,0.000805212,0.000805212
3,752.599,0.82411,0.63716,0.82572,0.9353,0.82447,0.89011,0.70367,0.74451,0.60983,0.80678,0.0011669,0.0011669,0.0011669
4,1000.44,0.81433,0.60478,0.82742,0.92076,0.69742,0.80599,0.61666,0.83894,0.86783,0.81702,0.00112625,0.00112625,0.00112625
5,1247.5,0.80137,0.58036,0.82166,0.93989,0.84638,0.91314,0.71774,0.79621,0.56331,0.80837,0.001085,0.001085,0.001085
6,1493.73,0.78249,0.53489,0.81904,0.95819,0.83878,0.91816,0.74234,0.69374,0.54411,0.79798,0.00104375,0.00104375,0.00104375
7,1748.63,0.74251,0.48915,0.81172,0.97089,0.83913,0.92187,0.74082,0.70526,0.51367,0.80028,0.0010025,0.0010025,0.0010025
8,1996.98,0.73193,0.48719,0.81282,0.95734,0.86043,0.92723,0.7526,0.70135,0.52279,0.79607,0.00096125,0.00096125,0.00096125
9,2247.37,0.73049,0.49016,0.80993,0.94283,0.8719,0.9234,0.74167,0.72221,0.53369,0.79709,0.00092,0.00092,0.00092
10,2495.79,0.70044,0.45745,0.8059,0.9562,0.85389,0.9311,0.76347,0.66766,0.48273,0.79032,0.00087875,0.00087875,0.00087875
11,2749.89,0.70112,0.45999,0.8088,0.96621,0.84778,0.93382,0.74451,0.71722,0.50291,0.79705,0.0008375,0.0008375,0.0008375
12,3008.45,0.67931,0.43429,0.80815,0.94687,0.85636,0.92701,0.74015,0.69808,0.48693,0.7924,0.00079625,0.00079625,0.00079625
13,3255.25,0.66555,0.419,0.80736,0.93158,0.8696,0.93593,0.76363,0.66766,0.48257,0.79138,0.000755,0.000755,0.000755
14,3501.12,0.68045,0.41982,0.8078,0.96966,0.85657,0.93848,0.77489,0.64326,0.47529,0.7896,0.00071375,0.00071375,0.00071375
15,3747.64,0.65881,0.41155,0.8024,0.9647,0.8891,0.94987,0.77698,0.68519,0.4499,0.78927,0.0006725,0.0006725,0.0006725
16,3996.53,0.62567,0.3837,0.79862,0.97312,0.89437,0.95621,0.78906,0.62947,0.42239,0.78553,0.00063125,0.00063125,0.00063125
17,4245.04,0.6249,0.38198,0.80149,0.94821,0.88061,0.94993,0.78592,0.64465,0.44236,0.78708,0.00059,0.00059,0.00059
18,4488.27,0.61955,0.38289,0.8062,0.97678,0.86696,0.9404,0.77834,0.63762,0.43985,0.78365,0.00054875,0.00054875,0.00054875
19,4731.89,0.60336,0.35885,0.79421,0.94416,0.89059,0.9407,0.7799,0.63026,0.43004,0.78602,0.0005075,0.0005075,0.0005075
20,4988.16,0.59165,0.34482,0.79186,0.96814,0.86563,0.94357,0.7902,0.62949,0.45921,0.78564,0.00046625,0.00046625,0.00046625
21,5235.75,0.59941,0.3488,0.79641,0.95686,0.88723,0.94518,0.78516,0.62477,0.42608,0.78617,0.000425,0.000425,0.000425
22,5481.64,0.58779,0.34135,0.79356,0.94272,0.90211,0.95368,0.79435,0.62852,0.4222,0.78608,0.00038375,0.00038375,0.00038375
23,5730.94,0.56696,0.32474,0.79519,0.97209,0.87918,0.9459,0.79094,0.60725,0.42061,0.78421,0.0003425,0.0003425,0.0003425
24,5979.75,0.56389,0.32455,0.79447,0.95428,0.88247,0.94098,0.78685,0.60025,0.44209,0.78092,0.00030125,0.00030125,0.00030125
25,6232.82,0.54886,0.31964,0.78951,0.96082,0.88358,0.95347,0.79542,0.61467,0.40537,0.78139,0.00026,0.00026,0.00026
26,6487.02,0.52491,0.30233,0.78809,0.96836,0.89513,0.95245,0.8015,0.60683,0.39287,0.78085,0.00021875,0.00021875,0.00021875
27,6747.8,0.52598,0.28779,0.78878,0.95524,0.90185,0.9564,0.81171,0.58789,0.38356,0.77914,0.0001775,0.0001775,0.0001775
28,6994.21,0.49857,0.27309,0.77878,0.97022,0.88787,0.95129,0.80738,0.57422,0.39346,0.77686,0.00013625,0.00013625,0.00013625
29,7247.81,0.50071,0.28022,0.78558,0.97883,0.88847,0.95132,0.8109,0.55629,0.38773,0.77599,9.5e-05,9.5e-05,9.5e-05
30,7495.85,0.48938,0.26441,0.78265,0.97557,0.89931,0.9503,0.81004,0.5751,0.38987,0.77803,5.375e-05,5.375e-05,5.375e-05
