epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3368,0.96557,2.49113,0.8655,0.29107,0.69729,0.26666,0.18555,nan,nan,nan,0.000405405,0.000405405,0.000405405
2,121.639,0.93452,1.05935,0.84859,0.39664,0.14749,0.24438,0.19038,nan,nan,nan,0.000805795,0.000805795,0.000805795
3,181.002,1.03155,0.97267,0.86762,0.01158,0.01398,0.00667,0.00466,nan,nan,nan,0.00118968,0.00118968,0.00118968
4,238.227,1.01494,0.94795,0.8725,0,0,0,0,nan,nan,nan,0.00117575,0.00117575,0.00117575
5,300.439,1.02962,0.88794,0.88083,0.72138,0.02593,0.02699,0.02008,2.43487,3.89486,1.33719,0.001151,0.001151,0.001151
6,361.854,0.96916,0.70597,0.85551,0.9539,0.81653,0.89222,0.67933,0.81894,0.64681,0.83066,0.00112625,0.00112625,0.00112625
7,417.079,0.86753,0.63062,0.83774,0.95517,0.84639,0.92918,0.70509,0.77247,0.58348,0.8115,0.0011015,0.0011015,0.0011015
8,486.584,0.86281,0.61049,0.83117,0.926,0.90223,0.94522,0.70395,0.77262,0.49794,0.81048,0.00107675,0.00107675,0.00107675
9,554.383,0.85149,0.58412,0.83726,0.91728,0.89274,0.94718,0.72223,0.74414,0.50526,0.80872,0.001052,0.001052,0.001052
10,615.193,0.81536,0.56248,0.82497,0.95391,0.89375,0.94816,0.73888,0.68505,0.47694,0.80319,0.00102725,0.00102725,0.00102725
11,688.201,0.81505,0.54318,0.83996,0.96996,0.83111,0.93392,0.71055,0.76258,0.53503,0.81451,0.0010025,0.0010025,0.0010025
12,748.969,0.78804,0.51731,0.82809,0.95671,0.92723,0.97329,0.75682,0.69964,0.46837,0.79998,0.00097775,0.00097775,0.00097775
13,837.538,0.76673,0.51078,0.82035,0.98361,0.90698,0.96814,0.76066,0.69274,0.4208,0.80241,0.000953,0.000953,0.000953
14,912.074,0.74339,0.48981,0.82779,0.95704,0.92335,0.96912,0.77249,0.63112,0.38925,0.79713,0.00092825,0.00092825,0.00092825
15,1009.89,0.76027,0.5252,0.82409,0.95401,0.91305,0.9512,0.73077,0.69899,0.44312,0.80053,0.0009035,0.0009035,0.0009035
16,1076.97,0.72453,0.44486,0.80661,0.97014,0.92528,0.97656,0.76654,0.65468,0.40752,0.80062,0.00087875,0.00087875,0.00087875
17,1142.78,0.74401,0.45524,0.82145,0.95245,0.90493,0.97175,0.78017,0.6576,0.39435,0.79763,0.000854,0.000854,0.000854
18,1228.59,0.72375,0.44372,0.81896,0.96263,0.95447,0.97698,0.80911,0.59421,0.3657,0.79223,0.00082925,0.00082925,0.00082925
19,1316.76,0.69497,0.43646,0.80939,0.94474,0.91125,0.97035,0.78371,0.62488,0.38641,0.79315,0.0008045,0.0008045,0.0008045
20,1392.49,0.68766,0.41775,0.81456,0.96203,0.94245,0.98017,0.79595,0.58087,0.35347,0.79049,0.00077975,0.00077975,0.00077975
21,1461.49,0.65678,0.40959,0.80054,0.96978,0.94459,0.98461,0.79804,0.59765,0.35922,0.79117,0.000755,0.000755,0.000755
22,1526.66,0.65215,0.38858,0.80843,0.9575,0.96373,0.98361,0.81806,0.57788,0.32601,0.78983,0.00073025,0.00073025,0.00073025
23,1593.46,0.65196,0.39472,0.80601,0.96291,0.94188,0.97543,0.79665,0.6126,0.34733,0.78972,0.0007055,0.0007055,0.0007055
24,1653.25,0.66133,0.38962,0.8018,0.94731,0.95227,0.97377,0.78861,0.62142,0.36547,0.79099,0.00068075,0.00068075,0.00068075
25,1711.26,0.63684,0.37934,0.80812,0.96447,0.9588,0.97677,0.80988,0.58977,0.34373,0.78518,0.000656,0.000656,0.000656
26,1772.39,0.65043,0.37449,0.80673,0.96011,0.93684,0.9797,0.819,0.5525,0.32643,0.78533,0.00063125,0.00063125,0.00063125
27,1833,0.64896,0.37733,0.80855,0.97919,0.93408,0.98187,0.78141,0.65975,0.34283,0.79836,0.0006065,0.0006065,0.0006065
28,1885.81,0.62778,0.36803,0.79847,0.9639,0.95559,0.97968,0.7945,0.6126,0.32152,0.79178,0.00058175,0.00058175,0.00058175
29,1952.85,0.61616,0.34883,0.79144,0.96248,0.966,0.98598,0.80916,0.56694,0.31066,0.78751,0.000557,0.000557,0.000557
30,2014.43,0.59357,0.34356,0.799,0.97803,0.93104,0.97504,0.81074,0.55692,0.32295,0.78534,0.00053225,0.00053225,0.00053225
31,2078.74,0.59218,0.34664,0.79764,0.96733,0.96523,0.97801,0.82211,0.5606,0.32188,0.78255,0.0005075,0.0005075,0.0005075
32,2171.69,0.59726,0.34831,0.79549,0.92939,0.9574,0.97356,0.78931,0.63595,0.35337,0.78953,0.00048275,0.00048275,0.00048275
33,2240.63,0.59667,0.32936,0.79188,0.93976,0.95413,0.98281,0.80553,0.60279,0.32275,0.78579,0.000458,0.000458,0.000458
34,2313.07,0.57734,0.32066,0.80478,0.95483,0.96836,0.98033,0.81761,0.55481,0.30952,0.78236,0.00043325,0.00043325,0.00043325
35,2372.3,0.55534,0.31429,0.79205,0.95638,0.96093,0.97669,0.81733,0.55335,0.30752,0.77988,0.0004085,0.0004085,0.0004085
36,2439.11,0.56175,0.32547,0.78723,0.9739,0.94508,0.97997,0.80928,0.57196,0.31281,0.78556,0.00038375,0.00038375,0.00038375
37,2510.04,0.55517,0.31184,0.78522,0.94255,0.98362,0.98421,0.82945,0.54152,0.28592,0.78304,0.000359,0.000359,0.000359
38,2599.58,0.53713,0.3031,0.79825,0.95058,0.95288,0.97821,0.81715,0.53398,0.3129,0.77929,0.00033425,0.00033425,0.00033425
39,2675.94,0.51478,0.29672,0.79118,0.96684,0.96128,0.98168,0.82941,0.52944,0.28909,0.78028,0.0003095,0.0003095,0.0003095
40,2744.6,0.54554,0.30109,0.78922,0.94922,0.97961,0.98298,0.83377,0.50958,0.28758,0.77738,0.00028475,0.00028475,0.00028475
41,2839.72,0.49748,0.29576,0.78557,0.97395,0.93725,0.98013,0.83014,0.53939,0.29953,0.78045,0.00026,0.00026,0.00026
42,2908.24,0.51163,0.28775,0.7769,0.95777,0.97699,0.98411,0.82698,0.54656,0.28873,0.78118,0.00023525,0.00023525,0.00023525
43,2965.2,0.49597,0.28039,0.79011,0.9763,0.94299,0.9825,0.81816,0.53665,0.29097,0.78113,0.0002105,0.0002105,0.0002105
44,3030.19,0.48237,0.27005,0.77577,0.96451,0.9606,0.97752,0.82803,0.50945,0.29116,0.77756,0.00018575,0.00018575,0.00018575
45,3096.45,0.47293,0.26606,0.78013,0.96572,0.94752,0.97698,0.8396,0.49258,0.2946,0.77583,0.000161,0.000161,0.000161
46,3176.09,0.45866,0.25858,0.79461,0.96755,0.94282,0.97533,0.83294,0.48753,0.29081,0.77526,0.00013625,0.00013625,0.00013625
47,3237.71,0.461,0.26349,0.77503,0.96496,0.96081,0.9768,0.8325,0.48845,0.28875,0.77472,0.0001115,0.0001115,0.0001115
48,3299.71,0.45842,0.25139,0.77617,0.95748,0.96565,0.97762,0.84072,0.48657,0.28383,0.77503,8.675e-05,8.675e-05,8.675e-05
49,3369.69,0.4628,0.25355,0.78363,0.96235,0.96561,0.98074,0.83695,0.48606,0.27354,0.77617,6.2e-05,6.2e-05,6.2e-05
50,3435.87,0.45693,0.26177,0.77827,0.96293,0.96908,0.98034,0.84088,0.48402,0.26852,0.77477,3.725e-05,3.725e-05,3.725e-05
