epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1317.54,0.80956,0.60567,0.82326,0.94935,0.75597,0.84057,0.66351,0.79083,0.6702,0.81708,0.000415381,0.000415381,0.000415381
2,1422.02,0.85618,0.6246,0.82653,0.92232,0.74731,0.83383,0.64778,0.86313,0.7547,0.82092,0.00080459,0.00080459,0.00080459
3,1528.56,0.87166,0.657,0.82613,0.92313,0.75992,0.84863,0.64057,0.86478,0.71251,0.81884,0.0011663,0.0011663,0.0011663
4,1632.56,0.85999,0.61779,0.82485,0.94453,0.77126,0.86812,0.6637,0.84069,0.63138,0.81776,0.00112625,0.00112625,0.00112625
5,1741.41,0.8432,0.59465,0.82662,0.88338,0.82032,0.88614,0.67763,0.83412,0.61218,0.81481,0.001085,0.001085,0.001085
6,1847.06,0.83198,0.57616,0.82587,0.95253,0.7917,0.88557,0.68567,0.79119,0.62661,0.81301,0.00104375,0.00104375,0.00104375
7,1953.16,0.7985,0.53783,0.81631,0.93425,0.79818,0.86966,0.68739,0.77482,0.61107,0.80722,0.0010025,0.0010025,0.0010025
8,2056.64,0.78062,0.51753,0.81348,0.95294,0.80465,0.88157,0.69294,0.78064,0.61572,0.8085,0.00096125,0.00096125,0.00096125
9,2160.78,0.76359,0.5069,0.81371,0.93902,0.81494,0.90006,0.71201,0.76477,0.56241,0.80933,0.00092,0.00092,0.00092
10,2270.47,0.7494,0.48233,0.80941,0.91048,0.81829,0.87772,0.70128,0.75938,0.58457,0.80752,0.00087875,0.00087875,0.00087875
11,2378.22,0.74921,0.48778,0.81406,0.94417,0.82308,0.89654,0.71895,0.74994,0.54314,0.80678,0.0008375,0.0008375,0.0008375
12,2489.87,0.73502,0.4755,0.80729,0.90256,0.83871,0.90876,0.72077,0.74117,0.5222,0.8027,0.00079625,0.00079625,0.00079625
13,2595.22,0.71724,0.45654,0.80486,0.93567,0.81915,0.9058,0.73212,0.70874,0.53198,0.80179,0.000755,0.000755,0.000755
14,2699.47,0.70824,0.45502,0.80567,0.96528,0.79779,0.89929,0.72323,0.71962,0.53275,0.80015,0.00071375,0.00071375,0.00071375
15,2807.46,0.68233,0.42056,0.80021,0.95058,0.83372,0.91086,0.73455,0.73753,0.51758,0.80143,0.0006725,0.0006725,0.0006725
16,2917.93,0.66499,0.41491,0.80159,0.95142,0.8079,0.90708,0.73057,0.68063,0.51499,0.79584,0.00063125,0.00063125,0.00063125
17,3031.6,0.66541,0.40845,0.80073,0.96391,0.81383,0.91408,0.74369,0.6988,0.50819,0.79573,0.00059,0.00059,0.00059
18,3140.47,0.67144,0.41354,0.80307,0.92506,0.84218,0.90987,0.73685,0.69885,0.49922,0.79697,0.00054875,0.00054875,0.00054875
19,3245.63,0.6549,0.39143,0.79849,0.96675,0.83413,0.91716,0.7473,0.68347,0.47104,0.79638,0.0005075,0.0005075,0.0005075
20,3356.47,0.63901,0.39146,0.79636,0.94326,0.83553,0.91971,0.75671,0.69031,0.51617,0.7951,0.00046625,0.00046625,0.00046625
21,3470.02,0.63122,0.38667,0.80256,0.9279,0.83716,0.91081,0.73884,0.71084,0.53409,0.79832,0.000425,0.000425,0.000425
22,3580.52,0.61297,0.36699,0.79458,0.96601,0.83614,0.91851,0.74792,0.68794,0.50043,0.79665,0.00038375,0.00038375,0.00038375
23,3691.51,0.60235,0.35646,0.79497,0.96445,0.84098,0.91896,0.74943,0.68977,0.5159,0.7969,0.0003425,0.0003425,0.0003425
24,3803.1,0.59245,0.3473,0.79466,0.94916,0.8403,0.91787,0.75021,0.67023,0.49704,0.79532,0.00030125,0.00030125,0.00030125
25,3914.02,0.57491,0.33833,0.78975,0.94914,0.82708,0.91116,0.74941,0.66309,0.48952,0.79402,0.00026,0.00026,0.00026
26,4026.49,0.55209,0.32277,0.79098,0.95902,0.82919,0.92195,0.75725,0.66178,0.48243,0.79453,0.00021875,0.00021875,0.00021875
27,4138.02,0.54497,0.31985,0.78987,0.94736,0.83183,0.91862,0.75659,0.65742,0.47167,0.79437,0.0001775,0.0001775,0.0001775
28,4242.41,0.53624,0.3143,0.7829,0.95028,0.84648,0.92477,0.7685,0.64916,0.46065,0.79222,0.00013625,0.00013625,0.00013625
29,4349.08,0.52552,0.29785,0.78808,0.95363,0.84007,0.92269,0.7671,0.64063,0.46409,0.79165,9.5e-05,9.5e-05,9.5e-05
30,4453.45,0.5059,0.2862,0.78406,0.95048,0.83335,0.92176,0.76824,0.64101,0.4733,0.7919,5.375e-05,5.375e-05,5.375e-05
