epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.024,0.80663,0.63137,0.84683,0.93889,0.79982,0.87424,0.69159,0.78768,0.65906,0.84621,0.080521,0.000397531,0.000397531
2,348.294,0.80706,0.59194,0.84472,0.92485,0.79567,0.88429,0.68531,0.8723,0.69192,0.8539,0.0609202,0.000796752,0.000796752
3,465.434,0.83094,0.62396,0.84909,0.91351,0.82191,0.88703,0.69968,0.79724,0.6466,0.8436,0.0413163,0.00119286,0.00119286
4,583.99,0.82954,0.61392,0.84195,0.92143,0.81613,0.87653,0.67453,0.80631,0.66543,0.84631,0.021707,0.00158352,0.00158352
5,701.096,0.83356,0.59104,0.84414,0.93682,0.80079,0.88558,0.68617,0.82188,0.67533,0.84265,0.00208992,0.00196647,0.00196647
6,818.263,0.82919,0.59249,0.84937,0.96504,0.8024,0.87917,0.71381,0.75719,0.63067,0.83841,0.00195155,0.00195155,0.00195155
7,937.478,0.79919,0.56711,0.8408,0.92124,0.83719,0.90675,0.71918,0.76542,0.57532,0.84247,0.00193048,0.00193048,0.00193048
8,1058.58,0.79054,0.54661,0.83554,0.93511,0.82106,0.90094,0.72007,0.773,0.58704,0.83942,0.00190578,0.00190578,0.00190578
9,1175.94,0.77588,0.5218,0.83452,0.97377,0.79454,0.88927,0.70781,0.77438,0.60164,0.8383,0.00187754,0.00187754,0.00187754
10,1293.8,0.76176,0.51109,0.82987,0.91522,0.83165,0.9145,0.73479,0.76636,0.58711,0.84198,0.00184588,0.00184588,0.00184588
11,1412.26,0.73676,0.49433,0.82857,0.95886,0.83858,0.91409,0.73508,0.79355,0.55324,0.83772,0.00181093,0.00181093,0.00181093
12,1531.32,0.74544,0.50047,0.82963,0.94582,0.84818,0.92354,0.73392,0.75976,0.51669,0.83177,0.00177281,0.00177281,0.00177281
13,1647.65,0.71819,0.46737,0.81862,0.94579,0.8505,0.91511,0.74742,0.71546,0.55864,0.82559,0.00173168,0.00173168,0.00173168
14,1767.04,0.72652,0.47799,0.82303,0.93507,0.85109,0.9271,0.7604,0.70981,0.51509,0.82179,0.0016877,0.0016877,0.0016877
15,1884.81,0.70934,0.46108,0.82279,0.94027,0.8458,0.91931,0.74976,0.73851,0.51811,0.82851,0.00164105,0.00164105,0.00164105
16,2002.68,0.69263,0.44047,0.81978,0.95734,0.83233,0.9208,0.75869,0.69732,0.49695,0.81837,0.00159191,0.00159191,0.00159191
17,2118.74,0.67955,0.43934,0.81707,0.95226,0.85437,0.922,0.76252,0.68338,0.5097,0.81826,0.00154047,0.00154047,0.00154047
18,2239.35,0.66588,0.43091,0.81568,0.93211,0.86887,0.92671,0.76199,0.71738,0.47918,0.81972,0.00148694,0.00148694,0.00148694
19,2359.33,0.67768,0.42958,0.81718,0.96209,0.85258,0.93608,0.77543,0.70323,0.48873,0.82014,0.00143152,0.00143152,0.00143152
20,2477.11,0.66118,0.41979,0.81576,0.96094,0.86938,0.92531,0.77193,0.64551,0.46807,0.81297,0.00137444,0.00137444,0.00137444
21,2593.47,0.64638,0.40213,0.81135,0.96981,0.85524,0.928,0.76402,0.6722,0.45192,0.8144,0.00131593,0.00131593,0.00131593
22,2708.91,0.63503,0.39272,0.81068,0.95244,0.87357,0.93923,0.77097,0.67408,0.47024,0.81163,0.0012562,0.0012562,0.0012562
23,2823.25,0.62246,0.39031,0.80647,0.97149,0.86398,0.94938,0.78927,0.66961,0.46191,0.81421,0.00119551,0.00119551,0.00119551
24,2941.06,0.61895,0.37639,0.80691,0.95656,0.86805,0.941,0.79149,0.66571,0.46922,0.81373,0.00113408,0.00113408,0.00113408
25,3057.85,0.61478,0.3747,0.80678,0.93808,0.87136,0.93974,0.78837,0.67309,0.4784,0.81441,0.00107216,0.00107216,0.00107216
26,3173.04,0.61482,0.37432,0.80671,0.96607,0.85501,0.94325,0.78703,0.67,0.44017,0.81166,0.00101,0.00101,0.00101
27,3288.82,0.58537,0.3551,0.80146,0.95944,0.86523,0.93934,0.79693,0.63394,0.46047,0.80909,0.000947837,0.000947837,0.000947837
28,3405.48,0.58684,0.35627,0.79898,0.96305,0.86055,0.93957,0.79504,0.63884,0.46184,0.80991,0.00088592,0.00088592,0.00088592
29,3522.32,0.57604,0.34228,0.79938,0.95938,0.86795,0.94543,0.80037,0.63954,0.42745,0.80968,0.000824492,0.000824492,0.000824492
30,3639.55,0.57123,0.34042,0.80217,0.96244,0.87106,0.93911,0.79257,0.64172,0.44887,0.80827,0.000763797,0.000763797,0.000763797
31,3755.62,0.54644,0.32681,0.79986,0.96309,0.86057,0.93738,0.79893,0.62971,0.45612,0.80687,0.000704073,0.000704073,0.000704073
32,3870.79,0.55565,0.32938,0.79822,0.96769,0.8839,0.94684,0.80801,0.6267,0.43495,0.80676,0.000645557,0.000645557,0.000645557
33,3987.4,0.54345,0.32198,0.79599,0.97062,0.86986,0.94077,0.80034,0.62013,0.41883,0.80598,0.000588479,0.000588479,0.000588479
34,4102.38,0.53281,0.3101,0.79657,0.97306,0.87803,0.94808,0.81065,0.62203,0.4214,0.80612,0.000533064,0.000533064,0.000533064
35,4218.83,0.51673,0.29829,0.79506,0.97835,0.87706,0.94926,0.81195,0.6198,0.40675,0.80463,0.000479531,0.000479531,0.000479531
36,4334.97,0.50492,0.29079,0.79315,0.95267,0.88353,0.95293,0.81765,0.60735,0.42735,0.80417,0.000428093,0.000428093,0.000428093
37,4451.78,0.50761,0.29541,0.79459,0.97063,0.87012,0.95059,0.81197,0.6206,0.40131,0.80464,0.00037895,0.00037895,0.00037895
38,4565.97,0.5005,0.29114,0.79248,0.96424,0.88171,0.95261,0.81608,0.61702,0.39414,0.8059,0.000332298,0.000332298,0.000332298
39,4681.45,0.48544,0.28062,0.78895,0.97722,0.85822,0.94577,0.81156,0.61988,0.43787,0.8046,0.000288321,0.000288321,0.000288321
40,4796.06,0.48168,0.27911,0.78902,0.968,0.87028,0.94432,0.80723,0.61751,0.4176,0.80444,0.000247192,0.000247192,0.000247192
41,4911.73,0.47518,0.27288,0.79403,0.96925,0.86231,0.94056,0.80562,0.61323,0.42945,0.80531,0.000209073,0.000209073,0.000209073
42,5024.11,0.46208,0.2669,0.79033,0.97971,0.85796,0.94051,0.79855,0.61629,0.41638,0.80381,0.000174115,0.000174115,0.000174115
43,5135.89,0.44892,0.25419,0.79182,0.9685,0.86323,0.94471,0.81308,0.6142,0.41283,0.80303,0.000142456,0.000142456,0.000142456
44,5247.99,0.44144,0.25057,0.78477,0.96779,0.86683,0.94414,0.80738,0.62252,0.41732,0.80462,0.000114221,0.000114221,0.000114221
45,5361.15,0.44348,0.25069,0.78549,0.97172,0.86351,0.94548,0.811,0.61531,0.41271,0.80347,8.95213e-05,8.95213e-05,8.95213e-05
46,5473.4,0.43892,0.24519,0.78278,0.95755,0.87184,0.94384,0.8113,0.61988,0.42026,0.80422,6.8454e-05,6.8454e-05,6.8454e-05
47,5585.31,0.42695,0.24467,0.78226,0.96462,0.86661,0.94335,0.80864,0.61117,0.416,0.80346,5.11027e-05,5.11027e-05,5.11027e-05
48,5697.78,0.4302,0.24219,0.78614,0.95274,0.87237,0.9443,0.81273,0.61113,0.41371,0.80343,3.75356e-05,3.75356e-05,3.75356e-05
49,5810.4,0.42247,0.23754,0.78487,0.95797,0.8732,0.94522,0.81106,0.61073,0.40857,0.80349,2.78064e-05,2.78064e-05,2.78064e-05
50,5921.68,0.4243,0.23728,0.78789,0.9572,0.87488,0.94578,0.81105,0.60948,0.40425,0.80308,2.19535e-05,2.19535e-05,2.19535e-05
