epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6705,1.22068,3.60127,0.90214,0.89049,0.61411,0.77095,0.52831,0.96439,0.99796,0.82904,0.000410256,0.000410256,0.000410256
2,58.6435,1.02654,1.06176,0.86221,0.87169,0.81901,0.88205,0.60743,0.95364,0.89175,0.83219,0.00081055,0.00081055,0.00081055
3,85.7875,1.02625,0.90144,0.86201,0.9158,0.78664,0.86675,0.64894,0.81505,0.69526,0.8131,0.00119434,0.00119434,0.00119434
4,112.979,0.9952,0.78229,0.85366,0.92916,0.76818,0.8832,0.63462,0.91148,0.69875,0.82681,0.00117575,0.00117575,0.00117575
5,137.539,0.95307,0.74773,0.85822,0.91604,0.81951,0.89984,0.65656,0.834,0.62356,0.81363,0.001151,0.001151,0.001151
6,163.185,0.96897,0.71211,0.84735,0.94668,0.83148,0.92142,0.68464,0.84444,0.60723,0.81279,0.00112625,0.00112625,0.00112625
7,187.659,0.90205,0.63496,0.82373,0.9361,0.86671,0.92195,0.70253,0.75218,0.55114,0.80199,0.0011015,0.0011015,0.0011015
8,210.23,0.86041,0.59631,0.83306,0.89987,0.90193,0.9484,0.72793,0.75838,0.52462,0.80051,0.00107675,0.00107675,0.00107675
9,235.533,0.89944,0.59792,0.8372,0.93985,0.86351,0.93493,0.71012,0.7709,0.50848,0.80754,0.001052,0.001052,0.001052
10,261.315,0.7971,0.54914,0.82668,0.89697,0.8759,0.93453,0.71277,0.79388,0.55051,0.81094,0.00102725,0.00102725,0.00102725
11,282.662,0.81833,0.54906,0.82141,0.93,0.8437,0.93719,0.72561,0.73598,0.5505,0.8,0.0010025,0.0010025,0.0010025
12,305.414,0.88578,0.55765,0.83125,0.91185,0.8999,0.95207,0.74345,0.70075,0.51109,0.79643,0.00097775,0.00097775,0.00097775
13,329.927,0.84915,0.54415,0.82863,0.9553,0.85194,0.94132,0.72735,0.68811,0.48504,0.79521,0.000953,0.000953,0.000953
14,351.057,0.81306,0.51577,0.82219,0.9352,0.89347,0.95182,0.74185,0.6772,0.46551,0.79228,0.00092825,0.00092825,0.00092825
15,374.082,0.78875,0.51846,0.8183,0.93824,0.88183,0.94143,0.73841,0.72988,0.50002,0.79759,0.0009035,0.0009035,0.0009035
16,395.047,0.7542,0.49508,0.82004,0.96638,0.86643,0.94197,0.74248,0.65061,0.46736,0.78911,0.00087875,0.00087875,0.00087875
17,417.707,0.75195,0.49034,0.81669,0.94678,0.8687,0.9473,0.73331,0.69849,0.4929,0.79591,0.000854,0.000854,0.000854
18,439.13,0.76886,0.49779,0.8122,0.95344,0.90414,0.95181,0.74631,0.69062,0.46938,0.79378,0.00082925,0.00082925,0.00082925
19,463.15,0.75124,0.48298,0.81848,0.97791,0.87728,0.94854,0.75275,0.67839,0.46348,0.79459,0.0008045,0.0008045,0.0008045
20,487.346,0.74399,0.47939,0.81336,0.96726,0.90574,0.95816,0.73998,0.67476,0.4717,0.79218,0.00077975,0.00077975,0.00077975
21,508.323,0.7408,0.46886,0.81373,0.96088,0.89119,0.9506,0.74786,0.67428,0.4706,0.78794,0.000755,0.000755,0.000755
22,531.134,0.75496,0.48329,0.81098,0.95626,0.87498,0.94752,0.76582,0.66632,0.47356,0.78838,0.00073025,0.00073025,0.00073025
23,553.919,0.68781,0.4315,0.80616,0.95248,0.90188,0.94842,0.77298,0.64965,0.4596,0.79119,0.0007055,0.0007055,0.0007055
24,577.563,0.72401,0.44509,0.81422,0.95605,0.88294,0.9585,0.76922,0.67833,0.43767,0.79174,0.00068075,0.00068075,0.00068075
25,600.344,0.76852,0.4607,0.80613,0.90732,0.92963,0.96614,0.75937,0.68964,0.45694,0.79686,0.000656,0.000656,0.000656
26,621.411,0.72908,0.44943,0.80712,0.96059,0.89836,0.96364,0.76794,0.66698,0.44078,0.79177,0.00063125,0.00063125,0.00063125
